COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_V_15_UT,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,CLORUROS_TOT,TIPO_CUERPO_AGUA
2400.0,2400.0,226.0,9.76,9.76,2.33,3.62,,,0.0035,0.005,1.058,0.0,1.058,0.0035,1.0,1.0,0.0014,0.0015,5.0,0.009,141.44,221.0,8.21,105.67,8.14,13.0,3.9,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,120.0,29.5,22.1,,LÓTICO
2400.0,2400.0,2419.0,2.88,2.88,2.0,2.0,,,0.0035,0.005,0.203,0.0,0.203,0.0035,1.0,1.0,0.0014,0.0015,5.0,0.009,143.36,224.0,8.59,95.87,8.71,12.0,3.3,0.0015,0.000113,0.0012,0.0002013,0.00042,0.005048,144.0,21.0,20.04,,LÓTICO
2400.0,2400.0,2400.0,3.659,3.132,2.0,2.0,10.0,10.0,0.01,0.0163,0.222,3.582,3.8303,3.5919999999999996,1.0,1.0,0.0456,0.0348,5.0,0.009,131.2,205.0,9.09,87.0,7.74,12.0,2.9,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,189.0,28.6,20.23,,LÓTICO
2400.0,2400.0,167.0,2.812,2.812,2.0,2.22,10.0,10.0,0.283,0.0228,0.4344,2.5073,3.2474999999999996,2.7903,1.0,1.0,0.0317,0.0258,8.0,0.0449,141.632,221.3,8.4,93.0,7.37,13.0,10.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,164.0,30.0,25.4,,LÓTICO
1100.0,1100.0,517.0,2.495,2.495,2.0,2.0,10.0,10.0,0.0035,0.0418,0.3178,0.325,0.6846000000000001,0.325,1.0,1.0,0.0327,0.0106,10.0,0.009,122.88,192.0,8.66,105.3,8.57,10.0,5.3,0.0015,0.001301,0.0012,0.0002013,0.00806,0.00154,103.0,27.2,24.6,,LÓTICO
2400.0,2400.0,2419.0,5.122,5.122,2.0,2.0,10.0,10.0,0.0643,0.016,0.3286,0.6469,1.0558,0.7112,1.0,1.0,0.018,0.0155,5.0,0.0325,128.64000000000001,201.0,8.6,83.2,6.55,32.0,18.0,0.0015,0.00013,0.0012,0.0002013,0.00254,0.00154,114.0,28.1,24.5,,LÓTICO
2400.0,2400.0,5475.0,1.519,1.153,4.05,5.14,10.0,10.0,0.088,0.0059,0.6806,0.132,0.9065,0.22,1.0,1.0,0.0294,0.0174,40.0,0.063,106.88,167.0,8.1,96.4,8.43,51.0,65.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,117.0,24.5,22.0,,LÓTICO
529.0,754.0,1720.0,3.093,2.775,2.0,2.0,59.26,62.72,0.125,0.036,0.568,0.106,0.835,0.23099999999999998,1.0,1.0,0.045,0.01,10.0,0.025,115.84,181.0,7.0,64.1,8.27,10.0,6.5,0.0015,0.001301,0.0012,0.002417,0.00042,0.00154,153.0,17.2,17.09,,LÓTICO
4611.0,6867.0,805.0,2.798,2.798,2.0,2.0,10.0,69.63,0.11,0.042,0.585,0.226,0.963,0.336,1.0,1.0,0.049,0.014,5.0,0.026,123.52,193.0,8.2,102.1,9.2,14.0,3.1,,,,,0.00042,,154.0,23.7,20.8,,LÓTICO
11000.0,24000.0,275.0,3.956,3.956,2.0,2.0,10.0,10.0,0.056,0.01,0.377,0.313,0.756,0.369,1.0,1.0,0.103,0.043,10.0,0.093,115.2,180.0,9.1,97.2,8.5,10.0,3.9,,,,,,,102.0,30.6,23.7,,LÓTICO
24000.0,24000.0,1541.0,3.944,3.77,2.0,3.0,10.0,10.0,0.082,0.047,0.785,0.129,1.0430000000000001,0.21100000000000002,1.0,1.0,0.149,0.024,12.5,0.059,153.15200000000002,239.3,8.2,91.4,7.7,18.0,22.0,0.0143,0.001301,0.0012,0.00174,0.0012,0.0068,163.0,30.4,24.4,,LÓTICO
4600.0,24000.0,333.0,3.085,1.533,2.0,2.0,22.6,26.2,0.107,0.005,0.611,0.254,0.972,0.361,1.0,1.0,0.065,0.023,15.0,0.086,122.68799999999999,191.7,8.4,88.7,7.5,12.0,11.0,,,,,,,106.0,30.2,24.3,,LÓTICO
24000.0,24000.0,2420.0,2.871,2.659,2.0,2.0,10.0,10.92,0.116,0.071,0.378,0.365,0.9299999999999999,0.481,1.0,1.0,0.062,0.041,7.5,0.068,176.0,275.0,8.2,93.3,8.0,43.0,12.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,126.0,26.0,23.0,,LÓTICO
794.0,1071.0,171.0,3.039,1.441,2.38,2.91,10.0,10.0,0.035212,0.0455,0.6185,0.49109,1.190302,0.526302,1.0,1.0,0.0733,0.031,8.0,0.009,151.04,236.0,9.3,78.9,6.82,10.0,3.3,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,113.0,24.0,23.0,,LÓTICO
5172.0,12907.0,1904.0,19.17,2.756,2.0,2.0,10.0,12.8,0.03743,0.0596,0.8078,0.134274,1.039104,0.171704,1.0,1.0,0.0014,0.0015,10.0,0.009,154.24,241.0,8.1,66.4,5.94,10.0,2.5,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,108.0,22.0,19.0,,LÓTICO
6867.0,24196.0,906.0,2.442,1.909,2.0,2.0,11.1,14.4,0.05181,0.078736,0.031,0.400138,0.5306839999999999,0.451948,1.0,1.0,0.1444,0.0219,8.0,0.047,151.04,236.0,8.5,61.1,4.78,32.0,9.2,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,338.0,26.0,26.0,,LÓTICO
24000.0,24000.0,9804.0,1.928,1.928,2.0,2.0,10.0,11.65,0.074261,0.0297,0.6323,0.665539,1.4018,0.7398,1.0,1.0,0.0999,0.0703,40.0,0.0933,154.88,242.0,8.1,87.3,7.45,39.0,34.0,0.0015,0.001301,0.0012,0.000841,0.00042,0.00154,110.0,27.0,25.0,,LÓTICO
2700.0,12033.0,1296.0,1.463,0.103,3.76,3.81,10.0,10.0,0.073311,0.016463,0.63264,0.189784,0.9121980000000001,0.263095,1.0,1.0,0.205,0.151,20.0,0.0859,134.4,210.0,8.0,94.6,7.49,17.0,13.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,98.0,29.4,28.9,,LÓTICO
5796.0,24196.0,1725.0,1.493,1.022,2.0,2.0,10.0,10.0,0.078715,0.012596,0.80385,0.460945,1.356106,0.53966,1.0,1.0,0.171,0.07,18.0,0.1071,144.0,225.0,8.5,58.6,4.76,23.0,17.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,89.1,25.3,23.5,,LÓTICO
24196.0,24196.0,3448.0,3.045,1.874,2.0,2.0,10.0,10.0,0.1722,0.0195,0.8181,0.3302,1.34,0.5024,1.0,1.0,0.1456,0.0638,10.0,0.0363,131.2,205.0,8.4,101.4,7.86,10.0,3.4,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,118.0,30.0,26.5,,LÓTICO
3654.0,19863.0,1063.0,8.291,6.612,2.0,2.0,10.0,10.0,0.1112,0.0081,0.4415,0.5799,1.1406999999999998,0.6910999999999999,1.0,1.0,0.055,0.043,15.0,0.0537,163.84,256.0,8.3,47.1,3.5,14.0,5.4,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,118.0,27.0,29.2,,LÓTICO
15531.0,24196.0,5172.0,2.667,1.264,2.0,2.0,10.0,10.0,0.118,0.0124,0.7214,0.5284,1.3801999999999999,0.6464,1.0,1.0,0.098,0.052,25.0,0.1073,172.16,269.0,7.7,57.4,4.35,44.0,21.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,138.0,26.9,25.6,,LÓTICO
12033.0,24196.0,3873.0,2.38,1.377,2.0,2.0,10.0,10.0,0.059235,0.013297,0.562204,0.427737,1.062473,0.48697199999999996,1.0,1.0,0.285,0.048,5.0,0.1215,149.12,233.0,7.4,76.0,5.94,55.0,120.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,155.0,30.9,27.6,,LÓTICO
24196.0,24196.0,17329.0,3.365,1.099,2.0,2.0,10.0,10.0,0.032,0.035,0.88,0.559,1.5060000000000002,0.5910000000000001,1.0,1.0,0.083,0.0015,15.0,0.0654,154.24,241.0,7.9,59.3,4.96,62.0,50.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,142.0,33.4,29.7,,LÓTICO
17329.0,24196.0,12997.0,1.047,1.003,2.0,2.0,10.0,10.0,0.033,0.044,1.187,0.237,1.501,0.27,1.0,1.0,0.051,0.019,5.0,0.0651,144.0,225.0,7.9,73.4,5.9,40.0,29.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,119.0,33.7,28.9,,LÓTICO
24000.0,24000.0,24000.0,2.647,2.563,2.0,2.0,10.0,10.0,0.144,0.005,2.047,0.572,2.7630000000000003,0.716,1.0,1.0,0.0693,0.0499,5.0,0.033,172.16,269.0,8.0,70.0,6.0,22.0,20.0,0.0015,0.001301,0.03282,0.0002013,0.00988,0.00154,129.0,28.6,24.1,,LÓTICO
11000.0,24000.0,2400.0,2.82,1.347,2.0,2.0,25.1,40.9,2.812,0.005,1.329,0.44,4.581,3.252,1.0,1.0,0.113,0.078,20.0,0.023,158.72,248.0,7.1,95.0,7.42,10.0,8.75,0.0015,0.001301,0.0012,0.0002013,0.00357,0.00154,112.0,29.0,22.9,,LÓTICO
